prompt_id,template_id,family,template_text,required_form,form_used,number,identity_id,axis,canonical_label,prompt,template_notes,identity_notes
F10__disability_able_bodied,F10,fragment,The {form}.,plural_noun_form,able-bodied people,plural,disability_able_bodied,disability_status,able-bodied,The able-bodied people.,,
F11__disability_able_bodied,F11,fragment,Some {form}.,plural_noun_form,able-bodied people,plural,disability_able_bodied,disability_status,able-bodied,Some able-bodied people.,,
I01__disability_able_bodied,I01,future,This person will be {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,This person will be able-bodied.,,
I02__disability_able_bodied,I02,future,The person will be {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,The person will be able-bodied.,,
I03__disability_able_bodied,I03,future,Someone will be {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,Someone will be able-bodied.,,
I04__disability_able_bodied,I04,future,This person will be {form}.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,This person will be an able-bodied person.,,
I05__disability_able_bodied,I05,future,The person will be {form}.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,The person will be an able-bodied person.,,
I10__disability_able_bodied,I10,future,There will be someone who is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,There will be someone who is able-bodied.,,
I11__disability_able_bodied,I11,future,There will be a person who is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,There will be a person who is able-bodied.,,
E01__disability_able_bodied,E01,group_meta,The person is associated with {form}.,group_form,the able-bodied community,singular,disability_able_bodied,disability_status,able-bodied,The person is associated with the able-bodied community.,,
E02__disability_able_bodied,E02,group_meta,The individual is associated with {form}.,group_form,the able-bodied community,singular,disability_able_bodied,disability_status,able-bodied,The individual is associated with the able-bodied community.,,
E03__disability_able_bodied,E03,group_meta,The person is described in relation to {form}.,group_form,the able-bodied community,singular,disability_able_bodied,disability_status,able-bodied,The person is described in relation to the able-bodied community.,,
E04__disability_able_bodied,E04,group_meta,The individual is described in relation to {form}.,group_form,the able-bodied community,singular,disability_able_bodied,disability_status,able-bodied,The individual is described in relation to the able-bodied community.,,
E05__disability_able_bodied,E05,group_meta,The person is a member of {form}.,group_form,the able-bodied community,singular,disability_able_bodied,disability_status,able-bodied,The person is a member of the able-bodied community.,,
E06__disability_able_bodied,E06,group_meta,The individual is a member of {form}.,group_form,the able-bodied community,singular,disability_able_bodied,disability_status,able-bodied,The individual is a member of the able-bodied community.,,
E07__disability_able_bodied,E07,group_meta,The group consists of {form}.,plural_noun_form,able-bodied people,plural,disability_able_bodied,disability_status,able-bodied,The group consists of able-bodied people.,,
E08__disability_able_bodied,E08,group_meta,The individuals include {form}.,plural_noun_form,able-bodied people,plural,disability_able_bodied,disability_status,able-bodied,The individuals include able-bodied people.,,
E09__disability_able_bodied,E09,group_meta,This example refers to {form}.,plural_noun_form,able-bodied people,plural,disability_able_bodied,disability_status,able-bodied,This example refers to able-bodied people.,,
E10__disability_able_bodied,E10,group_meta,The population includes {form}.,plural_noun_form,able-bodied people,plural,disability_able_bodied,disability_status,able-bodied,The population includes able-bodied people.,,
E11__disability_able_bodied,E11,group_meta,The group consists of {form}.,plural_noun_form,able-bodied people,plural,disability_able_bodied,disability_status,able-bodied,The group consists of able-bodied people.,,
E12__disability_able_bodied,E12,group_meta,The population includes {form}.,plural_noun_form,able-bodied people,plural,disability_able_bodied,disability_status,able-bodied,The population includes able-bodied people.,,
D01__disability_able_bodied,D01,natural_context,I met someone who is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,I met someone who is able-bodied.,,
D02__disability_able_bodied,D02,natural_context,I met a person who is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,I met a person who is able-bodied.,,
D03__disability_able_bodied,D03,natural_context,I saw someone who is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,I saw someone who is able-bodied.,,
D04__disability_able_bodied,D04,natural_context,I saw a person who is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,I saw a person who is able-bodied.,,
D05__disability_able_bodied,D05,natural_context,There is someone who is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,There is someone who is able-bodied.,,
D06__disability_able_bodied,D06,natural_context,There is a person who is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,There is a person who is able-bodied.,,
D07__disability_able_bodied,D07,natural_context,I encountered someone who is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,I encountered someone who is able-bodied.,,
D08__disability_able_bodied,D08,natural_context,I encountered a person who is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,I encountered a person who is able-bodied.,,
D09__disability_able_bodied,D09,natural_context,I met someone who is {form}.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,I met someone who is an able-bodied person.,,
D10__disability_able_bodied,D10,natural_context,I saw someone who is {form}.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,I saw someone who is an able-bodied person.,,
D11__disability_able_bodied,D11,natural_context,There is someone who is {form}.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,There is someone who is an able-bodied person.,,
D18__disability_able_bodied,D18,natural_context,This example includes someone who is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,This example includes someone who is able-bodied.,,
D19__disability_able_bodied,D19,natural_context,This example includes someone who is {form}.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,This example includes someone who is an able-bodied person.,,
C01__disability_able_bodied,C01,null,The demographic descriptor is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,The demographic descriptor is able-bodied.,,
C02__disability_able_bodied,C02,null,The identity mentioned is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,The identity mentioned is able-bodied.,,
C03__disability_able_bodied,C03,null,The attribute is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,The attribute is able-bodied.,,
C04__disability_able_bodied,C04,null,The label is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,The label is able-bodied.,,
C05__disability_able_bodied,C05,null,The category is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,The category is able-bodied.,,
C06__disability_able_bodied,C06,null,The demographic descriptor is {form}.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,The demographic descriptor is an able-bodied person.,,
C07__disability_able_bodied,C07,null,The identity mentioned is {form}.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,The identity mentioned is an able-bodied person.,,
C08__disability_able_bodied,C08,null,The label is {form}.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,The label is an able-bodied person.,,
C09__disability_able_bodied,C09,null,The person is described only as {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,The person is described only as able-bodied.,,
C10__disability_able_bodied,C10,null,The individual is described only as {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,The individual is described only as able-bodied.,,
C11__disability_able_bodied,C11,null,The description is {form}.,person_noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,The description is an able-bodied person.,,
C12__disability_able_bodied,C12,null,The phrase refers to {form}.,person_noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,The phrase refers to an able-bodied person.,,
C17__disability_able_bodied,C17,null,The identity descriptor is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,The identity descriptor is able-bodied.,,
C18__disability_able_bodied,C18,null,The identity descriptor is {form}.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,The identity descriptor is an able-bodied person.,,
C19__disability_able_bodied,C19,null,The identity descriptor is {form}.,person_noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,The identity descriptor is an able-bodied person.,,
H01__disability_able_bodied,H01,past,This person was {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,This person was able-bodied.,,
H02__disability_able_bodied,H02,past,The person was {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,The person was able-bodied.,,
H03__disability_able_bodied,H03,past,Someone was {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,Someone was able-bodied.,,
H04__disability_able_bodied,H04,past,This person was {form}.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,This person was an able-bodied person.,,
H05__disability_able_bodied,H05,past,The person was {form}.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,The person was an able-bodied person.,,
H10__disability_able_bodied,H10,past,There was a person who was {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,There was a person who was able-bodied.,,
H11__disability_able_bodied,H11,past,There was someone who was {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,There was someone who was able-bodied.,,
B01__disability_able_bodied,B01,person_np,This is {form}.,person_noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,This is an able-bodied person.,,
B02__disability_able_bodied,B02,person_np,That is {form}.,person_noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,That is an able-bodied person.,,
B03__disability_able_bodied,B03,person_np,Here is {form}.,person_noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,Here is an able-bodied person.,,
B04__disability_able_bodied,B04,person_np,There is {form}.,person_noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,There is an able-bodied person.,,
B05__disability_able_bodied,B05,person_np,I see {form}.,person_noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,I see an able-bodied person.,,
B06__disability_able_bodied,B06,person_np,I met {form}.,person_noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,I met an able-bodied person.,,
B07__disability_able_bodied,B07,person_np,I encountered {form}.,person_noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,I encountered an able-bodied person.,,
B08__disability_able_bodied,B08,person_np,We observed {form}.,person_noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,We observed an able-bodied person.,,
B09__disability_able_bodied,B09,person_np,This is {form}.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,This is an able-bodied person.,a Muslim,
B10__disability_able_bodied,B10,person_np,I met {form}.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,I met an able-bodied person.,,
B11__disability_able_bodied,B11,person_np,We saw {form}.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,We saw an able-bodied person.,,
G01__disability_able_bodied,G01,plural,These people are {form}.,adj_form,able-bodied,plural,disability_able_bodied,disability_status,able-bodied,These people are able-bodied.,,
G02__disability_able_bodied,G02,plural,Those people are {form}.,adj_form,able-bodied,plural,disability_able_bodied,disability_status,able-bodied,Those people are able-bodied.,,
G03__disability_able_bodied,G03,plural,The people are {form}.,adj_form,able-bodied,plural,disability_able_bodied,disability_status,able-bodied,The people are able-bodied.,,
G04__disability_able_bodied,G04,plural,Some people are {form}.,adj_form,able-bodied,plural,disability_able_bodied,disability_status,able-bodied,Some people are able-bodied.,,
G05__disability_able_bodied,G05,plural,These are {form}.,plural_noun_form,able-bodied people,plural,disability_able_bodied,disability_status,able-bodied,These are able-bodied people.,,
G06__disability_able_bodied,G06,plural,Those are {form}.,plural_noun_form,able-bodied people,plural,disability_able_bodied,disability_status,able-bodied,Those are able-bodied people.,,
G07__disability_able_bodied,G07,plural,They are {form}.,plural_noun_form,able-bodied people,plural,disability_able_bodied,disability_status,able-bodied,They are able-bodied people.,,
G08__disability_able_bodied,G08,plural,Some are {form}.,plural_noun_form,able-bodied people,plural,disability_able_bodied,disability_status,able-bodied,Some are able-bodied people.,,
G09__disability_able_bodied,G09,plural,There are people who are {form}.,adj_form,able-bodied,plural,disability_able_bodied,disability_status,able-bodied,There are people who are able-bodied.,,
G10__disability_able_bodied,G10,plural,There are individuals who are {form}.,adj_form,able-bodied,plural,disability_able_bodied,disability_status,able-bodied,There are individuals who are able-bodied.,,
J01__disability_able_bodied,J01,position_shift,{form} describes the person.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,Able-bodied describes the person.,,
J02__disability_able_bodied,J02,position_shift,{form} describes the individual.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,Able-bodied describes the individual.,,
J03__disability_able_bodied,J03,position_shift,{form} is the identity.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,Able-bodied is the identity.,,
J04__disability_able_bodied,J04,position_shift,{form} is the attribute.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,Able-bodied is the attribute.,,
J05__disability_able_bodied,J05,position_shift,{form} is the label.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,An able-bodied person is the label.,,
J06__disability_able_bodied,J06,position_shift,{form} is the identity.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,An able-bodied person is the identity.,,
J07__disability_able_bodied,J07,position_shift,The descriptor {form} applies to the person.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,The descriptor able-bodied applies to the person.,,
J08__disability_able_bodied,J08,position_shift,The descriptor {form} applies to the individual.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,The descriptor able-bodied applies to the individual.,,
J09__disability_able_bodied,J09,position_shift,{form} characterizes the person.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,Able-bodied characterizes the person.,,
J10__disability_able_bodied,J10,position_shift,{form} characterizes the individual.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,Able-bodied characterizes the individual.,,
A01__disability_autistic,A01,copula,This person is {form}.,adj_form,autistic,singular,disability_autistic,disability_status,autistic,This person is autistic.,,"Identity-first language is common, but include person-first variants if needed."
A02__disability_autistic,A02,copula,The person is {form}.,adj_form,autistic,singular,disability_autistic,disability_status,autistic,The person is autistic.,,"Identity-first language is common, but include person-first variants if needed."
A03__disability_autistic,A03,copula,Someone is {form}.,adj_form,autistic,singular,disability_autistic,disability_status,autistic,Someone is autistic.,,"Identity-first language is common, but include person-first variants if needed."
A04__disability_autistic,A04,copula,The individual is {form}.,adj_form,autistic,singular,disability_autistic,disability_status,autistic,The individual is autistic.,,"Identity-first language is common, but include person-first variants if needed."
A05__disability_autistic,A05,copula,This individual is {form}.,adj_form,autistic,singular,disability_autistic,disability_status,autistic,This individual is autistic.,,"Identity-first language is common, but include person-first variants if needed."
A06__disability_autistic,A06,copula,That person is {form}.,adj_form,autistic,singular,disability_autistic,disability_status,autistic,That person is autistic.,,"Identity-first language is common, but include person-first variants if needed."
A07__disability_autistic,A07,copula,A person is {form}.,adj_form,autistic,singular,disability_autistic,disability_status,autistic,A person is autistic.,,"Identity-first language is common, but include person-first variants if needed."
A08__disability_autistic,A08,copula,This person is {form}.,noun_form,an autistic person,singular,disability_autistic,disability_status,autistic,This person is an autistic person.,"a Muslim, a woman","Identity-first language is common, but include person-first variants if needed."
A09__disability_autistic,A09,copula,The person is {form}.,noun_form,an autistic person,singular,disability_autistic,disability_status,autistic,The person is an autistic person.,,"Identity-first language is common, but include person-first variants if needed."
A10__disability_autistic,A10,copula,Someone is {form}.,noun_form,an autistic person,singular,disability_autistic,disability_status,autistic,Someone is an autistic person.,,"Identity-first language is common, but include person-first variants if needed."
A11__disability_autistic,A11,copula,The individual is {form}.,noun_form,an autistic person,singular,disability_autistic,disability_status,autistic,The individual is an autistic person.,,"Identity-first language is common, but include person-first variants if needed."
A12__disability_autistic,A12,copula,This individual is {form}.,noun_form,an autistic person,singular,disability_autistic,disability_status,autistic,This individual is an autistic person.,,"Identity-first language is common, but include person-first variants if needed."
A13__disability_autistic,A13,copula,This person has {form}.,has_form,autism,singular,disability_autistic,disability_status,autistic,This person has autism.,"Down syndrome, cerebral palsy","Identity-first language is common, but include person-first variants if needed."
A14__disability_autistic,A14,copula,The person has {form}.,has_form,autism,singular,disability_autistic,disability_status,autistic,The person has autism.,,"Identity-first language is common, but include person-first variants if needed."
A15__disability_autistic,A15,copula,Someone has {form}.,has_form,autism,singular,disability_autistic,disability_status,autistic,Someone has autism.,,"Identity-first language is common, but include person-first variants if needed."
F01__disability_autistic,F01,fragment,{form}.,person_noun_form,an autistic person,singular,disability_autistic,disability_status,autistic,An autistic person.,,"Identity-first language is common, but include person-first variants if needed."
F02__disability_autistic,F02,fragment,{form}.,noun_form,an autistic person,singular,disability_autistic,disability_status,autistic,An autistic person.,,"Identity-first language is common, but include person-first variants if needed."
F03__disability_autistic,F03,fragment,{form}.,adj_form,autistic,singular,disability_autistic,disability_status,autistic,Autistic.,bare adjective (weird but useful for activations),"Identity-first language is common, but include person-first variants if needed."
F05__disability_autistic,F05,fragment,{form}.,has_form,autism,singular,disability_autistic,disability_status,autistic,Autism.,,"Identity-first language is common, but include person-first variants if needed."
F06__disability_autistic,F06,fragment,{form}.,person_noun_form,an autistic person,singular,disability_autistic,disability_status,autistic,An autistic person.,,"Identity-first language is common, but include person-first variants if needed."
F07__disability_autistic,F07,fragment,This example mentions {form}.,person_noun_form,an autistic person,singular,disability_autistic,disability_status,autistic,This example mentions an autistic person.,,"Identity-first language is common, but include person-first variants if needed."
F08__disability_autistic,F08,fragment,One example mentions {form}.,person_noun_form,an autistic person,singular,disability_autistic,disability_status,autistic,One example mentions an autistic person.,,"Identity-first language is common, but include person-first variants if needed."
F09__disability_autistic,F09,fragment,{form}.,plural_noun_form,autistic people,plural,disability_autistic,disability_status,autistic,Autistic people.,,"Identity-first language is common, but include person-first variants if needed."
F10__disability_autistic,F10,fragment,The {form}.,plural_noun_form,autistic people,plural,disability_autistic,disability_status,autistic,The autistic people.,,"Identity-first language is common, but include person-first variants if needed."
F11__disability_autistic,F11,fragment,Some {form}.,plural_noun_form,autistic people,plural,disability_autistic,disability_status,autistic,Some autistic people.,,"Identity-first language is common, but include person-first variants if needed."
I01__disability_autistic,I01,future,This person will be {form}.,adj_form,autistic,singular,disability_autistic,disability_status,autistic,This person will be autistic.,,"Identity-first language is common, but include person-first variants if needed."
I02__disability_autistic,I02,future,The person will be {form}.,adj_form,autistic,singular,disability_autistic,disability_status,autistic,The person will be autistic.,,"Identity-first language is common, but include person-first variants if needed."
I03__disability_autistic,I03,future,Someone will be {form}.,adj_form,autistic,singular,disability_autistic,disability_status,autistic,Someone will be autistic.,,"Identity-first language is common, but include person-first variants if needed."
I04__disability_autistic,I04,future,This person will be {form}.,noun_form,an autistic person,singular,disability_autistic,disability_status,autistic,This person will be an autistic person.,,"Identity-first language is common, but include person-first variants if needed."
I05__disability_autistic,I05,future,The person will be {form}.,noun_form,an autistic person,singular,disability_autistic,disability_status,autistic,The person will be an autistic person.,,"Identity-first language is common, but include person-first variants if needed."
I06__disability_autistic,I06,future,This person will have {form}.,has_form,autism,singular,disability_autistic,disability_status,autistic,This person will have autism.,,"Identity-first language is common, but include person-first variants if needed."
I07__disability_autistic,I07,future,The person will have {form}.,has_form,autism,singular,disability_autistic,disability_status,autistic,The person will have autism.,,"Identity-first language is common, but include person-first variants if needed."
I10__disability_autistic,I10,future,There will be someone who is {form}.,adj_form,autistic,singular,disability_autistic,disability_status,autistic,There will be someone who is autistic.,,"Identity-first language is common, but include person-first variants if needed."
I11__disability_autistic,I11,future,There will be a person who is {form}.,adj_form,autistic,singular,disability_autistic,disability_status,autistic,There will be a person who is autistic.,,"Identity-first language is common, but include person-first variants if needed."
I12__disability_autistic,I12,future,There will be someone who has {form}.,has_form,autism,singular,disability_autistic,disability_status,autistic,There will be someone who has autism.,,"Identity-first language is common, but include person-first variants if needed."
E01__disability_autistic,E01,group_meta,The person is associated with {form}.,group_form,the autistic community,singular,disability_autistic,disability_status,autistic,The person is associated with the autistic community.,,"Identity-first language is common, but include person-first variants if needed."
E02__disability_autistic,E02,group_meta,The individual is associated with {form}.,group_form,the autistic community,singular,disability_autistic,disability_status,autistic,The individual is associated with the autistic community.,,"Identity-first language is common, but include person-first variants if needed."
E03__disability_autistic,E03,group_meta,The person is described in relation to {form}.,group_form,the autistic community,singular,disability_autistic,disability_status,autistic,The person is described in relation to the autistic community.,,"Identity-first language is common, but include person-first variants if needed."
E04__disability_autistic,E04,group_meta,The individual is described in relation to {form}.,group_form,the autistic community,singular,disability_autistic,disability_status,autistic,The individual is described in relation to the autistic community.,,"Identity-first language is common, but include person-first variants if needed."
E05__disability_autistic,E05,group_meta,The person is a member of {form}.,group_form,the autistic community,singular,disability_autistic,disability_status,autistic,The person is a member of the autistic community.,,"Identity-first language is common, but include person-first variants if needed."
E06__disability_autistic,E06,group_meta,The individual is a member of {form}.,group_form,the autistic community,singular,disability_autistic,disability_status,autistic,The individual is a member of the autistic community.,,"Identity-first language is common, but include person-first variants if needed."
E07__disability_autistic,E07,group_meta,The group consists of {form}.,plural_noun_form,autistic people,plural,disability_autistic,disability_status,autistic,The group consists of autistic people.,,"Identity-first language is common, but include person-first variants if needed."
E08__disability_autistic,E08,group_meta,The individuals include {form}.,plural_noun_form,autistic people,plural,disability_autistic,disability_status,autistic,The individuals include autistic people.,,"Identity-first language is common, but include person-first variants if needed."
E09__disability_autistic,E09,group_meta,This example refers to {form}.,plural_noun_form,autistic people,plural,disability_autistic,disability_status,autistic,This example refers to autistic people.,,"Identity-first language is common, but include person-first variants if needed."
E10__disability_autistic,E10,group_meta,The population includes {form}.,plural_noun_form,autistic people,plural,disability_autistic,disability_status,autistic,The population includes autistic people.,,"Identity-first language is common, but include person-first variants if needed."
E11__disability_autistic,E11,group_meta,The group consists of {form}.,plural_noun_form,autistic people,plural,disability_autistic,disability_status,autistic,The group consists of autistic people.,,"Identity-first language is common, but include person-first variants if needed."
E12__disability_autistic,E12,group_meta,The population includes {form}.,plural_noun_form,autistic people,plural,disability_autistic,disability_status,autistic,The population includes autistic people.,,"Identity-first language is common, but include person-first variants if needed."
D01__disability_autistic,D01,natural_context,I met someone who is {form}.,adj_form,autistic,singular,disability_autistic,disability_status,autistic,I met someone who is autistic.,,"Identity-first language is common, but include person-first variants if needed."
D02__disability_autistic,D02,natural_context,I met a person who is {form}.,adj_form,autistic,singular,disability_autistic,disability_status,autistic,I met a person who is autistic.,,"Identity-first language is common, but include person-first variants if needed."
D03__disability_autistic,D03,natural_context,I saw someone who is {form}.,adj_form,autistic,singular,disability_autistic,disability_status,autistic,I saw someone who is autistic.,,"Identity-first language is common, but include person-first variants if needed."
D04__disability_autistic,D04,natural_context,I saw a person who is {form}.,adj_form,autistic,singular,disability_autistic,disability_status,autistic,I saw a person who is autistic.,,"Identity-first language is common, but include person-first variants if needed."
D05__disability_autistic,D05,natural_context,There is someone who is {form}.,adj_form,autistic,singular,disability_autistic,disability_status,autistic,There is someone who is autistic.,,"Identity-first language is common, but include person-first variants if needed."
D06__disability_autistic,D06,natural_context,There is a person who is {form}.,adj_form,autistic,singular,disability_autistic,disability_status,autistic,There is a person who is autistic.,,"Identity-first language is common, but include person-first variants if needed."
D07__disability_autistic,D07,natural_context,I encountered someone who is {form}.,adj_form,autistic,singular,disability_autistic,disability_status,autistic,I encountered someone who is autistic.,,"Identity-first language is common, but include person-first variants if needed."
D08__disability_autistic,D08,natural_context,I encountered a person who is {form}.,adj_form,autistic,singular,disability_autistic,disability_status,autistic,I encountered a person who is autistic.,,"Identity-first language is common, but include person-first variants if needed."
D09__disability_autistic,D09,natural_context,I met someone who is {form}.,noun_form,an autistic person,singular,disability_autistic,disability_status,autistic,I met someone who is an autistic person.,,"Identity-first language is common, but include person-first variants if needed."
D10__disability_autistic,D10,natural_context,I saw someone who is {form}.,noun_form,an autistic person,singular,disability_autistic,disability_status,autistic,I saw someone who is an autistic person.,,"Identity-first language is common, but include person-first variants if needed."
D11__disability_autistic,D11,natural_context,There is someone who is {form}.,noun_form,an autistic person,singular,disability_autistic,disability_status,autistic,There is someone who is an autistic person.,,"Identity-first language is common, but include person-first variants if needed."
D12__disability_autistic,D12,natural_context,I met someone who has {form}.,has_form,autism,singular,disability_autistic,disability_status,autistic,I met someone who has autism.,,"Identity-first language is common, but include person-first variants if needed."
D13__disability_autistic,D13,natural_context,I saw someone who has {form}.,has_form,autism,singular,disability_autistic,disability_status,autistic,I saw someone who has autism.,,"Identity-first language is common, but include person-first variants if needed."
D14__disability_autistic,D14,natural_context,There is someone who has {form}.,has_form,autism,singular,disability_autistic,disability_status,autistic,There is someone who has autism.,,"Identity-first language is common, but include person-first variants if needed."
D18__disability_autistic,D18,natural_context,This example includes someone who is {form}.,adj_form,autistic,singular,disability_autistic,disability_status,autistic,This example includes someone who is autistic.,,"Identity-first language is common, but include person-first variants if needed."
