identity_id,axis,canonical_label,adj_form,noun_form,person_noun_form,plural_noun_form,group_form,prep_form,with_form,has_form,aliases,works_is_adj,works_is_noun,works_person_noun,works_plural,works_group,works_prep,works_with,works_has,notes
gender_male,gender_identity,male,male,a male,a male person,male people,the group of male people,,,,,1,1,1,1,1,0,0,0,Can also mark sex/category rather than gender in some contexts.
gender_man,gender_identity,man,male,a man,a man,men,the group of men,,,,,1,1,1,1,1,0,0,0,
gender_woman,gender_identity,woman,female,a woman,a woman,women,the group of women,,,,,1,1,1,1,1,0,0,0,
gender_transgender,gender_identity,transgender,transgender,a transgender person,a transgender person,transgender people,the transgender community,,,,trans,1,1,1,1,1,0,0,0,
gender_transgender_man,gender_identity,transgender man,transgender male,a transgender man,a transgender man,transgender men,the transgender male community,,,,trans man,1,1,1,1,1,0,0,0,
gender_transgender_woman,gender_identity,transgender woman,transgender female,a transgender woman,a transgender woman,transgender women,the transgender female community,,,,trans woman,1,1,1,1,1,0,0,0,
gender_nonbinary,gender_identity,nonbinary,nonbinary,a nonbinary person,a nonbinary person,nonbinary people,the nonbinary community,,,,non-binary,1,1,1,1,1,0,0,0,
gender_cisgender,gender_identity,cisgender,cisgender,a cisgender person,a cisgender person,cisgender people,the cisgender community,,,,cis,1,1,1,1,1,0,0,0,
gender_cisgender_man,gender_identity,cisgender man,cisgender male,a cisgender man,a cisgender man,cisgender men,the group of cisgender men,,,,cis man,1,1,1,1,1,0,0,0,
gender_cisgender_woman,gender_identity,cisgender woman,cisgender female,a cisgender woman,a cisgender woman,cisgender women,the group of cisgender women,,,,cis woman,1,1,1,1,1,0,0,0,
sex_intersex,gender_identity,intersex,intersex,an intersex person,an intersex person,intersex people,the intersex community,,,,,1,1,1,1,1,0,0,0,
nationality_british,nationality,British,British,a British person,a British person,British people,the British community,from the United Kingdom,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_american,nationality,American,American,an American,an American person,American people,the American community,from the United States,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_irish,nationality,Irish,Irish,an Irish person,an Irish person,Irish people,the Irish community,from Ireland,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_eritrean,nationality,Eritrean,Eritrean,an Eritrean,an Eritrean person,Eritrean people,the Eritrean community,from Eritrea,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_ethiopian,nationality,Ethiopian,Ethiopian,an Ethiopian,an Ethiopian person,Ethiopian people,the Ethiopian community,from Ethiopia,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_kenyan,nationality,Kenyan,Kenyan,a Kenyan,a Kenyan person,Kenyan people,the Kenyan community,from Kenya,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_guinean,nationality,Guinean,Guinean,a Guinean,a Guinean person,Guinean people,the Guinean community,from Guinea,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_mozambican,nationality,Mozambican,Mozambican,a Mozambican,a Mozambican person,Mozambican people,the Mozambican community,from Mozambique,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_nigerian,nationality,Nigerian,Nigerian,a Nigerian,a Nigerian person,Nigerian people,the Nigerian community,from Nigeria,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_namibian,nationality,Namibian,Namibian,a Namibian,a Namibian person,Namibian people,the Namibian community,from Namibia,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_malian,nationality,Malian,Malian,a Malian,a Malian person,Malian people,the Malian community,from Mali,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_afghan,nationality,Afghan,Afghan,an Afghan,an Afghan person,Afghan people,the Afghan community,from Afghanistan,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_iranian,nationality,Iranian,Iranian,an Iranian,an Iranian person,Iranian people,the Iranian community,from Iran,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_iraqi,nationality,Iraqi,Iraqi,an Iraqi,an Iraqi person,Iraqi people,the Iraqi community,from Iraq,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_libyan,nationality,Libyan,Libyan,a Libyan,a Libyan person,Libyan people,the Libyan community,from Libya,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_moroccan,nationality,Moroccan,Moroccan,a Moroccan,a Moroccan person,Moroccan people,the Moroccan community,from Morocco,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_canadian,nationality,Canadian,Canadian,a Canadian,a Canadian person,Canadians,the Canadian community,from Canada,,,Canada,1,1,1,1,1,1,0,0,
nationality_mexican,nationality,Mexican,Mexican,a Mexican,a Mexican person,Mexicans,the Mexican community,from Mexico,,,Mexico,1,1,1,1,1,1,0,0,
nationality_palestinian,nationality,Palestinian,Palestinian,a Palestinian,a Palestinian person,Palestinian people,the Palestinian community,from Palestine,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_saudi,nationality,Saudi,Saudi,a Saudi,a Saudi person,Saudi people,the Saudi community,from Saudi Arabia,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_syrian,nationality,Syrian,Syrian,a Syrian,a Syrian person,Syrian people,the Syrian community,from Syria,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_yemeni,nationality,Yemeni,Yemeni,a Yemeni,a Yemeni person,Yemeni people,the Yemeni community,from Yemen,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_indian,nationality,Indian,Indian,an Indian,an Indian person,Indian people,the Indian community,from India,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_pakistani,nationality,Pakistani,Pakistani,a Pakistani,a Pakistani person,Pakistani people,the Pakistani community,from Pakistan,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_sri_lankan,nationality,Sri Lankan,Sri Lankan,a Sri Lankan,a Sri Lankan person,Sri Lankan people,the Sri Lankan community,from Sri Lanka,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_vietnamese,nationality,Vietnamese,Vietnamese,a Vietnamese person,a Vietnamese person,Vietnamese people,the Vietnamese community,from Vietnam,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_thai,nationality,Thai,Thai,a Thai person,a Thai person,Thai people,the Thai community,from Thailand,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_indonesian,nationality,Indonesian,Indonesian,an Indonesian,an Indonesian person,Indonesian people,the Indonesian community,from Indonesia,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_burmese,nationality,Burmese,Burmese,a Burmese person,a Burmese person,Burmese people,the Burmese community,from Myanmar,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_japanese,nationality,Japanese,Japanese,a Japanese person,a Japanese person,Japanese people,the Japanese community,from Japan,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_korean,nationality,Korean,Korean,a Korean,a Korean person,Korean people,the Korean community,from Korea,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_chinese,nationality,Chinese,Chinese,a Chinese person,a Chinese person,Chinese people,the Chinese community,from China,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
nationality_italian,nationality,Italian,Italian,an Italian,an Italian person,Italian people,the Italian community,from Italy,,,,1,1,1,1,1,1,0,0,"For Korean/Chinese, prep_form intentionally uses broad country label; adjust if you need region-specific identity."
appearance_obese,physical_appearance,obese,obese,an obese person,an obese person,obese people,,,,,,1,1,1,1,0,0,0,0,
appearance_pregnant,physical_appearance,pregnant,pregnant,a pregnant person,a pregnant person,pregnant people,,,,pregnancy,,1,1,1,1,0,0,0,1,
appearance_thin,physical_appearance,thin,thin,a thin person,a thin person,thin people,the group of thin people,,,,slim,1,1,1,1,1,0,0,0,
appearance_tall,physical_appearance,tall,tall,a tall person,a tall person,tall people,the group of tall people,,,,height: tall,1,1,1,1,1,0,0,0,
appearance_well_dressed,physical_appearance,well-dressed,well-dressed,a well-dressed person,a well-dressed person,well-dressed people,the group of well-dressed people,,,,well dressed,1,1,1,1,1,0,0,0,
appearance_average_weight,physical_appearance,average-weight,average-weight,an average-weight person,an average-weight person,average-weight people,the group of average-weight people,,,,average weight,1,1,1,1,1,0,0,0,
appearance_not_pregnant,physical_appearance,not pregnant,not pregnant,a non-pregnant person,a non-pregnant person,non-pregnant people,the group of non-pregnant people,,,,non-pregnant; not-pregnant,1,1,1,1,1,0,0,0,use cautiously because it is negated
appearance_fat,physical_appearance,fat,fat,a fat person,a fat person,fat people,the group of fat people,,,,,1,1,1,1,1,0,0,0,Potentially reclaimed or stigmatizing depending on context.
appearance_visible_difference,physical_appearance,visible difference,visibly different,a person with a visible difference,a visibly different person,people with visible differences,,,with a visible difference,a visible difference,visibly difference,1,1,1,1,0,0,1,1,Corrected from 'visibly difference' to 'visible difference' / 'visibly different'.
appearance_short,physical_appearance,short,short,a short person,a short person,short people,,,,,,1,1,1,1,0,0,0,0,
appearance_poorly_dressed,physical_appearance,poorly dressed,poorly dressed,a poorly dressed person,a poorly dressed person,poorly dressed people,,,,,,1,1,1,1,0,0,0,0,
appearance_average_height,physical_appearance,average height,average height,a person of average height,a person of average height,people of average height,the group of people of average height,,,,average-height,1,1,1,1,1,0,0,0,
race_white,race_ethnicity,White,White,a White person,a White person,White people,the White community,,,,white,1,1,1,1,1,0,0,0,capitalize White consistently if capitalizing racial categories
race_caucasian,race_ethnicity,Caucasian,Caucasian,a Caucasian person,a Caucasian person,Caucasian people,the Caucasian community,,,,caucasian,1,1,1,1,1,0,0,0,capitalize Caucasian consistently if capitalizing racial categories
race_black,race_ethnicity,Black,Black,a Black person,a Black person,Black people,the Black community,,,,,1,1,1,1,1,0,0,0,Capitalize Black for racial identity.
race_african_american,race_ethnicity,African American,African American,an African American,an African American person,African American people,the African American community,,,,African-American,1,1,1,1,1,0,0,0,Hyphenated form appears in older data; unhyphenated is standard in many style guides.
race_hispanic,race_ethnicity,Hispanic,Hispanic,a Hispanic person,a Hispanic person,Hispanic people,the Hispanic community,,,,,1,1,1,1,1,0,0,0,
race_latino,race_ethnicity,Latino,Latino,a Latino person,a Latino person,Latino people,the Latino community,,,,"Latina, Latine, Latinx",1,1,1,1,1,0,0,0,Consider variants by gender/inclusivity if experimentally relevant.
race_asian,race_ethnicity,Asian,Asian,an Asian person,an Asian person,Asian people,the Asian community,,,,,1,1,1,1,1,0,0,0,
race_native_american,race_ethnicity,Native American,Native American,a Native American,a Native American person,Native American people,the Native American community,,,,,1,1,1,1,1,0,0,0,May be too broad; tribal/nation-specific identity is more precise when available.
race_roma,race_ethnicity,Roma,Roma,a Roma person,a Roma person,Roma people,the Roma community,,,,Romani,1,1,1,1,1,0,0,0,
race_middle_eastern,race_ethnicity,Middle Eastern,Middle Eastern,a Middle Eastern person,a Middle Eastern person,Middle Eastern people,the Middle Eastern community,from the Middle East,,,,1,1,1,1,1,1,0,0,
race_arab,race_ethnicity,Arab,Arab,an Arab,an Arab person,Arab people,the Arab community,,,,,1,1,1,1,1,0,0,0,
religion_jewish,religion,Jewish,Jewish,a Jewish person,a Jewish person,Jewish people,the Jewish community,from a Jewish background,,,,1,1,1,1,1,1,0,0,
religion_muslim,religion,Muslim,Muslim,a Muslim,a Muslim person,Muslims,the Muslim community,from a Muslim background,,,,1,1,1,1,1,1,0,0,
religion_mormon,religion,Mormon,Mormon,a Mormon,a Mormon person,Mormons,the Mormon community,from a Mormon background,,,,1,1,1,1,1,1,0,0,
religion_orthodox,religion,Orthodox,Orthodox,an Orthodox person,an Orthodox person,Orthodox people,the Orthodox community,from an Orthodox background,,,,1,1,1,1,1,1,0,0,"Orthodox is ambiguous unless specified as Orthodox Jewish, Eastern Orthodox, etc."
religion_catholic,religion,Catholic,Catholic,a Catholic,a Catholic person,Catholics,the Catholic community,from a Catholic background,,,,1,1,1,1,1,1,0,0,
religion_christian,religion,Christian,Christian,a Christian,a Christian person,Christians,the Christian community,from a Christian background,,,,1,1,1,1,1,1,0,0,
religion_hindu,religion,Hindu,Hindu,a Hindu,a Hindu person,Hindus,the Hindu community,from a Hindu background,,,,1,1,1,1,1,1,0,0,
religion_atheist,religion,atheist,atheist,an atheist,an atheist person,atheists,the atheist community,from an atheist background,,,,1,1,1,1,1,1,0,0,
religion_buddhist,religion,Buddhist,Buddhist,a Buddhist,a Buddhist person,Buddhists,the Buddhist community,,,,Buddhism,1,1,1,1,1,0,0,0,
religion_sikh,religion,Sikh,Sikh,a Sikh,a Sikh person,Sikhs,the Sikh community,,,,Sikhism,1,1,1,1,1,0,0,0,
religion_agnostic,religion,agnostic,agnostic,an agnostic,an agnostic person,agnostics,the agnostic community,,,,agnosticism,1,1,1,1,1,0,0,0,
ses_low,socioeconomic_status,low socioeconomic status,,a person of low socioeconomic status,a person of low socioeconomic status,people of low socioeconomic status,,from a low socioeconomic status background,,,low SES,0,1,1,1,0,1,0,0,
ses_poor,socioeconomic_status,poor,poor,a poor person,a poor person,poor people,,from a poor background,,,,1,1,1,1,0,1,0,0,
ses_high,socioeconomic_status,high socioeconomic status,,a person of high socioeconomic status,a person of high socioeconomic status,people of high socioeconomic status,,from a high socioeconomic status background,,,high SES,0,1,1,1,0,1,0,0,
ses_middle_class,socioeconomic_status,middle class,middle class,a middle-class person,a middle-class person,middle-class people,the middle class,from a middle-class background,,,middle-class,1,1,1,1,1,1,0,0,
ses_wealthy,socioeconomic_status,wealthy,wealthy,a wealthy person,a wealthy person,wealthy people,the wealthy group,from a wealthy background,,,rich,1,1,1,1,1,1,0,0,
ses_high_earning,socioeconomic_status,high earning,high-earning,a high-earning person,a high-earning person,high-earning people,the group of high earners,from a high-earning background,,,high earning,1,1,1,1,1,1,0,0,
ses_working_class,socioeconomic_status,working-class,working-class,a working-class person,a working-class person,working-class people,the working-class group,from a working-class background,,,working class,1,1,1,1,1,1,0,0,
ses_upper_class,socioeconomic_status,upper-class,upper-class,an upper-class person,an upper-class person,upper-class people,the upper-class group,from an upper-class background,,,upper class,1,1,1,1,1,1,0,0,
ses_lower_class,socioeconomic_status,lower-class,lower-class,a lower-class person,a lower-class person,lower-class people,the lower-class group,from a lower-class background,,,lower class,1,1,1,1,1,1,0,0,
ses_rich,socioeconomic_status,rich,rich,a rich person,a rich person,rich people,the rich group,from a wealthy background,,,wealthy; affluent,1,1,1,1,1,1,0,0,
ses_blue_collar,socioeconomic_status,blue-collar,blue-collar,a blue-collar worker,a blue-collar worker,blue-collar workers,the group of blue-collar workers,,,,working class labor,1,1,1,1,1,0,0,0,"uses ""worker"" instead of ""person"" for naturalness"
ses_white_collar,socioeconomic_status,white-collar,white-collar,a white-collar worker,a white-collar worker,white-collar workers,the group of white-collar workers,,,,professional class,1,1,1,1,1,0,0,0,parallel structure with blue-collar
sexuality_straight,sexual_orientation,straight,straight,a straight person,a straight person,straight people,the straight community,,,,heterosexual,1,1,1,1,1,0,0,0,
sexuality_heterosexual,sexual_orientation,heterosexual,heterosexual,a heterosexual person,a heterosexual person,heterosexual people,the heterosexual community,,,,straight,1,1,1,1,1,0,0,0,
sexuality_gay,sexual_orientation,gay,gay,a gay person,a gay person,gay people,the gay community,,,,,1,1,1,1,1,0,0,0,
sexuality_lesbian,sexual_orientation,lesbian,lesbian,a lesbian,a lesbian person,lesbians,the lesbian community,,,,,1,1,1,1,1,0,0,0,
sexuality_bisexual,sexual_orientation,bisexual,bisexual,a bisexual person,a bisexual person,bisexual people,the bisexual community,,,,bi,1,1,1,1,1,0,0,0,
sexuality_pansexual,sexual_orientation,pansexual,pansexual,a pansexual person,a pansexual person,pansexual people,the pansexual community,,,,pan,1,1,1,1,1,0,0,0,
sexuality_asexual,sexual_orientation,asexual,asexual,an asexual person,an asexual person,asexual people,the asexual community,,,,ace,1,1,1,1,1,0,0,0,
sexuality_homosexual,sexual_orientation,homosexual,homosexual,a homosexual person,a homosexual person,homosexual people,the homosexual community,,,,,1,1,1,1,1,0,0,0,Clinical/older term; may be perceived as stigmatizing in some contexts.
